"Night Train","🗣️ Name","Itinerary","More details","🚂 Route","🌍 Countries","🏢 Operator","🎫 Tickets"
"ES 496 + 497",,"Paris – Berlin","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=238"">View details</a>","496: Paris Gare du Nord - Bruxelles Midi / Brussel Zuid - Berlin Hbf<br><br>497: Berlin Hbf - Bruxelles Midi / Brussel Zuid - Paris Gare du Nord","DE, BE, FR","ES","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.europeansleeper.eu/"">Book tickets</a>"
"ÖBB NJ 40424 + NJ 40469",,"Berlin – Paris","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=260"">View details</a>","NJ 40424: Berlin Ostbahnhof - Berlin Hbf - Göttingen - Kassel-Wilhelmshöhe - Strasbourg - Paris Est<br><br>NJ 40469: Paris Est - Strasbourg - Frankfurt (Main) Süd - Erfurt Hbf - Halle (Saale) Hbf - Berlin Südkreuz - Berlin Hbf","DE, FR","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"SNCF IC Nuit 5737 + IC Nuit 5738",,"Paris – Cerbère","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=110"">View details</a>","IC Nuit 5737: Paris Austerlitz - Nîmes - Montpellier Saint-Roch - Béziers - Narbonne - Perpignan - Cerbère<br><br>IC Nuit 5738: Cerbère - Perpignan - Narbonne - Béziers - Montpellier Saint-Roch - Nîmes - Paris Austerlitz","FR","SNCF","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sncf-connect.com/en-en/"">Book tickets</a>"
"SNCF IC Nuit 3750 + IC Nuit 3751",,"Toulouse – Paris","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=264"">View details</a>","IC Nuit 3750: Toulouse Matabiau - Montauban Ville Bourbon - Fleury-les-Aubrais (Orléans) - Paris Austerlitz<br><br>IC Nuit 3751: Paris Austerlitz - Fleury-les-Aubrais (Orléans) - Montauban Ville Bourbon - Toulouse Matabiau","FR","SNCF","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sncf-connect.com/en-en/"">Book tickets</a>"
"SNCF IC Nuit 3731 + IC Nuit 3740","Le Pyrénéen","Tarbes – Paris","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=111"">View details</a>","IC Nuit 3731: Tarbes - Lourdes - Pau - Bayonne - Dax - Paris Austerlitz<br><br>IC Nuit 3740: Paris Austerlitz - Dax - Bayonne - Pau - Lourdes - Tarbes","FR","SNCF","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sncf-connect.com/en-en/"">Book tickets</a>"
"SNCF IC Nuit 3754 (Sun) + IC Nuit 3755 (Sun)","L'Occitan","Albi – Paris","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=109"">View details</a>","IC Nuit 3754 (Sun): Albi Ville - Rodez - Figeac - St-Denis-lès-Martel - Paris Austerlitz<br><br>IC Nuit 3755 (Sun): Paris Austerlitz - St-Denis-lès-Martel - Figeac - Rodez - Albi Ville","FR","SNCF","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sncf-connect.com/en-en/"">Book tickets</a>"
"SNCF IC Nuit 3754 + IC Nuit 3755","L'Occitan","Rodez – Paris","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=119"">View details</a>","IC Nuit 3754: Rodez - Figeac - St-Denis-lès-Martel - Paris Austerlitz<br><br>IC Nuit 3755: Paris Austerlitz - St-Denis-lès-Martel - Figeac - Rodez","FR","SNCF","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sncf-connect.com/en-en/"">Book tickets</a>"
"SNCF IC Nuit 3970 + IC Nuit 3971","Le Pyrénéen","Latour-de-Carol – Paris","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=112"">View details</a>","IC Nuit 3970: Latour-de-Carol / La Tor de Querol - Pamiers - Fleury-les-Aubrais (Orléans) - Paris Austerlitz<br><br>IC Nuit 3971: Paris Austerlitz - Fleury-les-Aubrais (Orléans) - Pamiers - Latour-de-Carol / La Tor de Querol","FR","SNCF","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sncf-connect.com/en-en/"">Book tickets</a>"
"SNCF IC Nuit 3789 + IC Nuit 3790",,"Paris – Aurillac","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=262"">View details</a>","IC Nuit 3789: Paris Austerlitz - St-Denis-lès-Martel - Bretenoux Biars - Laroquebrou / Laròcabrau - Aurillac<br><br>IC Nuit 3790: Aurillac - Laroquebrou / Laròcabrau - Bretenoux Biars - St-Denis-lès-Martel - Paris Austerlitz","FR","SNCF","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sncf-connect.com/en-en/"">Book tickets</a>"
"SNCF IC Nuit 5781 + IC Nuit 5772","Le Train Bleu","Paris – Nice","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=108"">View details</a>","IC Nuit 5781: Paris Austerlitz - Marseille Saint-Charles - Toulon - Cannes - Nice Ville<br><br>IC Nuit 5772: Nice Ville - Cannes - Toulon - Marseille Saint-Charles - Paris Austerlitz","FR","SNCF","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sncf-connect.com/en-en/"">Book tickets</a>"
"SNCF IC Nuit 5787 + IC Nuit 5792",,"Paris – Briançon","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=107"">View details</a>","IC Nuit 5787: Paris Austerlitz - Crest - Gap - Briançon<br><br>IC Nuit 5792: Briançon - Gap - Crest - Paris Austerlitz","FR","SNCF","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sncf-connect.com/en-en/"">Book tickets</a>"
